angry,dates,haha,like,love,messages,sad,wow,url
19,2017-10-06T19:00:01+0000,31,61,2,Rubén Bichara defiende Punta Catalina tendrá efecto reducido de medio ambiente http://ht.ly/wDlb30fHolg,1,2,http://ht.ly/wDlb30fHolg
126,2017-10-06T18:10:01+0000,23,688,1,Difunden retrato hablado de mujer que robó recién nacida de Maternidad La Altagracia http://ht.ly/E5eq30fHlmk,18,108,http://ht.ly/E5eq30fHlmk
0,2017-10-06T17:38:43+0000,37,288,6,VIDEO: Estudiantes de medicina se encierran en el edificio administrativo de la UASD http://bit.ly/2xZiDLd,1,35,http://bit.ly/2xZiDLd
0,2017-10-06T17:00:00+0000,0,191,11,"Estoy estancada en el plano laboral y personal, ¿qué hago? 

Aquí la recomendación de una especialista para salir de ese círculo http://bit.ly/2yO0eQP",0,0,http://bit.ly/2yO0eQP
0,2017-10-06T17:00:00+0000,0,28,1,En #GastroClubDL: Receta de arroz dorado https://buff.ly/2xnhhb0,0,0,https://buff.ly/2xnhhb0
8,2017-10-06T16:29:56+0000,1,182,0,Policía: acusado de matar a Eddy Peña confesó el crimen http://bit.ly/2xmUiNt,5,20,http://bit.ly/2xmUiNt
1,2017-10-06T16:15:28+0000,2,610,46,"En #EstilosRD: Cuida de tus raíces, porque algún día serán tus puntas https://buff.ly/2y0sD72",0,0,https://buff.ly/2y0sD72
1,2017-10-06T15:31:00+0000,5,1651,146,"Juan Luis Guerra y David Bisbal se unen para homenajear a Marco Antonio Solís. 

Aquí VIDEO del dueto http://bit.ly/2y4RgB1",0,11,http://bit.ly/2y4RgB1
1,2017-10-06T15:09:36+0000,0,12,0,Exsecretario general de OEA: “Diálogo sobre Venezuela dependerá de cumplimiento de acuerdos del Gobierno” http://bit.ly/2xn8Xbr,0,0,http://bit.ly/2xn8Xbr
50,2017-10-06T14:22:28+0000,25,150,2,"#Combustibles bajan entre RD$1.00 y RD$5.00, exceptuando precios de los dos tipos de gas que se mantienen invariables. 

Aquí los nuevos precios de los combustibles http://bit.ly/2xnj6EV",4,5,http://bit.ly/2xnj6EV
3,2017-10-06T13:46:52+0000,0,196,1,Raptan joven y luego lo ejecutan en San Francisco de Macorís http://bit.ly/2xmyamo,38,53,http://bit.ly/2xmyamo
0,2017-10-06T12:37:11+0000,7,55,2,"Cardiólogo dice falsearon datos del certificado que emitió a nombre de la madre “Quirinito” para justificar traslado. 

Aquí VIDEO con las declaraciones del doctor http://bit.ly/2fWZhBR",0,6,http://bit.ly/2fWZhBR
0,2017-10-06T12:00:00+0000,5,811,54,Comienza este viernes la limpieza de la ciudad en jornadas de 24 horas http://bit.ly/2fOJX6u,0,10,http://bit.ly/2fOJX6u
2,2017-10-06T11:45:00+0000,0,11,0,DE BUENA TINTA: Leonel tiene que ser menos misterioso #DLOpinión http://bit.ly/2xmgp6E,0,0,http://bit.ly/2xmgp6E
5,2017-10-06T11:37:55+0000,2,581,35,Apresan a supuesto matador de Eddy Peña http://bit.ly/2fPtGy5,3,22,http://bit.ly/2fPtGy5
0,2017-10-06T11:36:45+0000,0,14,0,"Campaña para abolir las armas nucleares es el premio #NobeldelaPaz.

Aquí detalles sobre la organización ganadora del galardón http://bit.ly/2hRFMuX",0,2,http://bit.ly/2hRFMuX
15,2017-10-06T11:30:00+0000,14,189,11,EGE Haina ha invertido US$400 millones en energía eólica en Barahona http://bit.ly/2yM1hkb,1,0,http://bit.ly/2yM1hkb
0,2017-10-06T11:15:00+0000,0,13,1,NO RESPONDO: Contribución para el futuro #DLOpinión http://bit.ly/2xle9fL,0,0,http://bit.ly/2xle9fL
0,2017-10-06T11:00:00+0000,0,65,0,Detallistas RD advierten sobre escasez de alimentos http://bit.ly/2hS0bAd,1,2,http://bit.ly/2hS0bAd
0,2017-10-06T10:45:00+0000,0,12,0,Asociación de Industrias rechaza primarias abiertas y el Conep RD pide enfocarse en fondos http://bit.ly/2xlGjaz,0,0,http://bit.ly/2xlGjaz
1,2017-10-06T10:30:00+0000,1,13,0,EDITORIAL: Actitudes irracionales #DLOpinión http://bit.ly/2yKGKwi,0,0,http://bit.ly/2yKGKwi
5,2017-10-06T10:15:00+0000,0,60,0,Adelantarán cobro 50% de ITBIS de empresas textiles y fronterizas http://bit.ly/2xYiMhT,0,1,http://bit.ly/2xYiMhT
0,2017-10-06T10:00:00+0000,2,18,0,AM: ¡No es la educación!: Es la pobreza #DLOpinión http://bit.ly/2xlln3C,0,0,http://bit.ly/2xlln3C
0,2017-10-06T09:30:00+0000,1,20,0,PORTADA | Aquí nuestra edición virtual de hoy http://bit.ly/2lk9UjK,0,0,http://bit.ly/2lk9UjK
0,2017-10-06T09:00:00+0000,1,19,1,Justicia y bancos ponen trabas a la declaración de independencia catalana http://bit.ly/2xXr8q3,0,0,http://bit.ly/2xXr8q3
0,2017-10-06T08:00:00+0000,0,35,6,El telescopio James Webb dará a partir de 2019 una vista inédita del Universo http://bit.ly/2yLD2lU,0,0,http://bit.ly/2yLD2lU
1,2017-10-06T07:00:00+0000,1,141,0,La Policía pone en duda que el tirador de Las Vegas preparara solo la masacre http://bit.ly/2xWWteI,0,7,http://bit.ly/2xWWteI
